year,precipitation_mm,sea_surface_elevation_anomaly_m,sea_surface_temperature_C,sea_surface_salinity_psu,air_temperature_2m_C,VPD_kPa,precipitation_mm_robust_z,precipitation_mm_flag,sea_surface_elevation_anomaly_m_robust_z,sea_surface_elevation_anomaly_m_flag,sea_surface_temperature_C_robust_z,sea_surface_temperature_C_flag,sea_surface_salinity_psu_robust_z,sea_surface_salinity_psu_flag,air_temperature_2m_C_robust_z,air_temperature_2m_C_flag,VPD_kPa_robust_z,VPD_kPa_flag
2006.0,3275.349235488131,0.5782509679266399,29.632880792594587,30.049580602600923,26.118074117536537,0.4839960485343294,0.39315211919090304,False,-0.4138479162476187,False,0.04875199957489432,False,-0.1070997876396399,False,-0.7427262301942551,False,-0.7790301658615083,False
2007.0,2841.021734819656,0.607054516557211,29.435728834445257,29.9338551151674,26.083138998018967,0.4991414589414507,-0.7954936526796268,False,0.023709253374358034,False,-0.46131895648602667,False,-0.21585299802804433,False,-0.8390468462119336,False,-0.3711454947305628,False
2008.0,3422.911305778435,0.6482846004768876,29.29033859605409,29.484242426035703,25.847555817665693,0.465554141631273,0.7969926097632808,False,0.6500389829002087,False,-0.837472146108094,False,-0.638377235850108,False,-1.488579962697162,False,-1.2756935727932752,False
2009.0,3543.8446078445204,0.6412548316517306,29.378250035829858,29.445803795362064,26.246473406101074,0.5026464114215284,1.1279568198534848,False,0.5432491637121715,False,-0.6100279322334705,False,-0.6745,False,-0.3887128836949566,False,-0.27675278094884087,False
2010.0,2878.1196854054638,0.6852161631689901,29.77279398405441,29.43041425178065,26.569351315454867,0.5270521850134066,-0.6939658377450133,False,1.2110695089834305,False,0.4107349897686367,False,-0.688962347992722,False,0.5015030238766873,False,0.38052494660213265,False
2011.0,3774.5460212839816,0.6498948222821794,29.18977471297076,29.437252834202333,26.103744211372657,0.4877989875546272,1.7593289048062317,False,0.6745,False,-1.0976507234401094,False,-0.6825357793140556,False,-0.7822356238428517,False,-0.6766123052734683,False
2012.0,3430.577236212154,0.6526528697736568,29.40348159553152,29.21030686641957,26.160540721874725,0.4908905769696149,0.8179723446027034,False,0.7163977352246438,False,-0.5447489164897512,False,-0.8958086125372173,False,-0.6256403422248137,False,-0.5933519710925431,False
2013.0,3234.870106269596,0.6377948469832959,29.61403723354525,31.47333244943593,26.313861634168347,0.5185524546822988,0.28237086375449155,False,0.49068824082474427,False,0.0,False,1.2308732688892625,False,-0.2029148750030138,False,0.15161667554098748,False
2014.0,2885.232442507948,0.599627596585352,29.80361346908981,31.62901325225822,26.397502230191265,0.55757686767684,-0.6744999999999999,False,-0.08911372283512241,False,0.49047106921150674,False,1.3771745502944834,False,0.027693001662797825,False,1.2025924782747557,False
2015.0,3116.715658055076,0.5921689061797512,30.01786312453772,31.708323256733056,26.414283194409503,0.5218344217554709,-0.04098831815714705,False,-0.20241932641958615,False,1.0447771365510086,False,1.451706252807398,False,0.0739602774927381,False,0.24000411598129107,False
2016.0,2669.853306127012,0.6714153955788247,30.22587232475276,31.373370153068635,26.87051686272315,0.55439623021782,-1.2639388437626002,False,1.0014208687129633,False,1.5829379167893158,False,1.1369335423101425,False,1.3318551576826994,False,1.1169339699157395,False
2017.0,3558.984734441113,0.5766865961110462,29.83461616229942,31.640736313587663,26.38745808426603,0.5083479531122173,1.1693915607734724,False,-0.4376124222342542,False,0.5706811442943539,False,1.3881913157748589,False,0.0,False,-0.12320319761417485,False
2018.0,3469.3694843055,0.5515840787907443,29.334394196809583,24.50466547798741,26.472789722868413,0.5470732972909449,0.9241370281802805,False,-0.8189469088259558,False,-0.723491627689042,False,-5.3179425717700095,True,0.23527029846987607,False,0.9197183112903372,False
2019.0,2842.231059776995,0.4910478648082558,29.8375912567295,32.63535121571623,26.72541568941449,0.5522241667151337,-0.7921840326460204,False,-1.7385577105899612,False,0.5783782996995943,False,2.3228822477855466,False,0.9317925676306178,False,1.058437608070559,False
2020.0,3280.0106971526398,0.5607143817302956,30.00545511422896,24.62366611779221,26.635496241621013,0.5332606113517031,0.4059093742339916,False,-0.6802476963344403,False,1.0126751694165532,False,-5.206111531745393,True,0.6838730893794774,False,0.5477255616509075,False
2021.0,3207.757138438875,0.5576263758924928,30.016390182879743,32.634688291228194,26.478350018637343,0.5572413354431991,0.2081694500165943,False,-0.7271578570057915,False,1.0409663463019114,False,2.3222592634463353,False,0.25060074877603566,False,1.193556179416317,False
2022.0,3243.700808643833,0.5488670072527265,29.98661828073083,32.41822126059497,26.44782594357116,0.5370619145178736,0.30653828816033474,False,-0.8602221748386191,False,0.9639405701676184,False,2.118834028031953,False,0.16644194942611856,False,0.6500993666600754,False
2023.0,3131.6926631503643,0.5252314684601839,30.149542030372967,31.975979478731997,26.52563065503324,0.5032980206218145,0.0,False,-1.2192716652051936,False,1.3854564076215348,False,1.70323661200798,False,0.3809595420548229,False,-0.2592041376819928,False
